name,link,size
mama Mitte (Japan) (Program).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/mama%20Mitte%20%28Japan%29%20%28Program%29.wsc,1.00 MB
Meitantei Conan - Yuugure no Oujo (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Meitantei%20Conan%20-%20Yuugure%20no%20Oujo%20%28Japan%29.wsc,4.00 MB
Memories Off - Festa (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Memories%20Off%20-%20Festa%20%28Japan%29.wsc,2.00 MB
Mikeneko Holmes - Ghost Panic (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Mikeneko%20Holmes%20-%20Ghost%20Panic%20%28Japan%29.wsc,4.00 MB
Mr. Driller (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Mr.%20Driller%20%28Japan%29.wsc,2.00 MB
Namco Super Wars (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Namco%20Super%20Wars%20%28Japan%29.wsc,2.00 MB
Naruto - Konoha Ninpouchou (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Naruto%20-%20Konoha%20Ninpouchou%20%28Japan%29.wsc,4.00 MB
Pocket no Naka no Doraemon (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Pocket%20no%20Naka%20no%20Doraemon%20%28Japan%29.wsc,4.00 MB
Raku Jongg (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Raku%20Jongg%20%28Japan%29.wsc,1.00 MB
Rhyme Rider Kerorican (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Rhyme%20Rider%20Kerorican%20%28Japan%29.wsc,4.00 MB
Riviera - Yakusoku no Chi Riviera (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Riviera%20-%20Yakusoku%20no%20Chi%20Riviera%20%28Japan%29.wsc,8.00 MB
Rockman EXE - N1 Battle (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Rockman%20EXE%20-%20N1%20Battle%20%28Japan%29%20%28Rev%201%29.wsc,4.00 MB
Rockman EXE WS (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Rockman%20EXE%20WS%20%28Japan%29.wsc,4.00 MB
Romancing Sa-Ga (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Romancing%20Sa-Ga%20%28Japan%29.wsc,4.00 MB
RUN=DIM - Return to Earth (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/RUN%3DDIM%20-%20Return%20to%20Earth%20%28Japan%29.wsc,2.00 MB
Saint Seiya - Ougon Densetsu Hen - Perfect Edition (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Saint%20Seiya%20-%20Ougon%20Densetsu%20Hen%20-%20Perfect%20Edition%20%28Japan%29.wsc,2.00 MB
SD Gundam - Operation U.C. (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/SD%20Gundam%20-%20Operation%20U.C.%20%28Japan%29.wsc,2.00 MB
SD Gundam Eiyuu Den - Kishi Densetsu (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/SD%20Gundam%20Eiyuu%20Den%20-%20Kishi%20Densetsu%20%28Japan%29.wsc,4.00 MB
SD Gundam Eiyuu Den - Musha Densetsu (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/SD%20Gundam%20Eiyuu%20Den%20-%20Musha%20Densetsu%20%28Japan%29.wsc,4.00 MB
SD Gundam G Generation - Gather Beat 2 (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/SD%20Gundam%20G%20Generation%20-%20Gather%20Beat%202%20%28Japan%29.wsc,8.00 MB
