manifest_path,mnemonic,rom_path
"3ds/Cars 2 (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Cars 2 (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Cartoon Network - Battle Crashers (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Cartoon Network - Battle Crashers (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/Cartoon Network - Punch Time Explosion (Europe) (En,Fr,De,Es,It).3ds",3ds,"Cartoon Network - Punch Time Explosion (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Castlevania - Lords of Shadow - Mirror of Fate (Europe) (En,Fr,De,Es,It).3ds",3ds,"Castlevania - Lords of Shadow - Mirror of Fate (Europe) (En,Fr,De,Es,It).3ds"
3ds/Castlevania - Lords of Shadow - Sadame no Makyou (Japan).3ds,3ds,Castlevania - Lords of Shadow - Sadame no Makyou (Japan).3ds
"3ds/Cats & Dogs - Pets at Play (Europe) (En,Fr,De,Es,It) (Rev 1).3ds",3ds,"Cats & Dogs - Pets at Play (Europe) (En,Fr,De,Es,It) (Rev 1).3ds"
3ds/Cave Story 3D (Europe).3ds,3ds,Cave Story 3D (Europe).3ds
"3ds/Centipede - Infestation (USA) (En,Fr,Es).3ds",3ds,"Centipede - Infestation (USA) (En,Fr,Es).3ds"
3ds/Chao Illust Club (Japan).3ds,3ds,Chao Illust Club (Japan).3ds
3ds/CharaPet Tsukutte! Sodatete! Character Shougakkou (Japan).3ds,3ds,CharaPet Tsukutte! Sodatete! Character Shougakkou (Japan).3ds
"3ds/Chevrolet Camaro - Wild Ride 3D (Europe) (En,Fr,De,Es,It,Nl).3ds",3ds,"Chevrolet Camaro - Wild Ride 3D (Europe) (En,Fr,De,Es,It,Nl).3ds"
3ds/Chibi Devi! (Japan).3ds,3ds,Chibi Devi! (Japan).3ds
3ds/Chibi Devi! 2 - Mahou no Yume Ehon (Japan).3ds,3ds,Chibi Devi! 2 - Mahou no Yume Ehon (Japan).3ds
"3ds/Chibi-Robo! Zip Lash (Europe) (En,Fr,De,Es,It).3ds",3ds,"Chibi-Robo! Zip Lash (Europe) (En,Fr,De,Es,It).3ds"
3ds/Chin-gumoa Apateu (Korea).3ds,3ds,Chin-gumoa Apateu (Korea).3ds
