name;link
Boomerang (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boomerang%20%28Japan%29.rom?download=true
Borfesu (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Borfesu%20%28Japan%29.rom?download=true
Bosconian (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bosconian%20%28Japan%29%20%28Alt%201%29.rom?download=true
Bosconian (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bosconian%20%28Japan%29%20%28Alt%202%29.rom?download=true
Bosconian (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bosconian%20%28Japan%29.rom?download=true
Bouken Roman - Dota (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bouken%20Roman%20-%20Dota%20%28Japan%29%20%28Alt%201%29.rom?download=true
Bouken Roman - Dota (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bouken%20Roman%20-%20Dota%20%28Japan%29.rom?download=true
Boulder Dash (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Boulder%20Dash%20%28Japan%29.rom?download=true
Bouncing Block (Spain) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bouncing%20Block%20%28Spain%29%20%28Alt%201%29.rom?download=true
Bouncing Block (Spain).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bouncing%20Block%20%28Spain%29.rom?download=true
Brain, The (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Brain%2C%20The%20%28Japan%29.rom?download=true
Break In (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Break%20In%20%28Japan%29.rom?download=true
Break Out (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Break%20Out%20%28Japan%29.rom?download=true
Brother Adventure (Korea) (Alt 1) (Unl).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Brother%20Adventure%20%28Korea%29%20%28Alt%201%29%20%28Unl%29.rom?download=true
Brother Adventure (Korea) (Unl).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Brother%20Adventure%20%28Korea%29%20%28Unl%29.rom?download=true
Bruce Lee (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bruce%20Lee%20%28Japan%29.rom?download=true
Bubble Bobble (Korea) (Alt 1) (Unl).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bubble%20Bobble%20%28Korea%29%20%28Alt%201%29%20%28Unl%29.rom?download=true
Bubble Bobble (Korea) (Unl).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Bubble%20Bobble%20%28Korea%29%20%28Unl%29.rom?download=true
Burgertime (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Burgertime%20%28Japan%29.rom?download=true
Buru To Marty Kikiippatsu - Inspecteur Z (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Buru%20To%20Marty%20Kikiippatsu%20-%20Inspecteur%20Z%20%28Japan%29.rom?download=true
Butam Pants (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Butam%20Pants%20%28Japan%29%20%28Alt%201%29.rom?download=true
Butam Pants (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Butam%20Pants%20%28Japan%29%20%28Alt%202%29.rom?download=true
Butam Pants (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Butam%20Pants%20%28Japan%29.rom?download=true
C-So! (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/C-So%21%20%28Japan%29.rom?download=true
Cabbage Patch Kids (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Cabbage%20Patch%20Kids%20%28Japan%29%20%28Alt%201%29.rom?download=true
Cabbage Patch Kids (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Cabbage%20Patch%20Kids%20%28Japan%29.rom?download=true
Candoo Ninja (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Candoo%20Ninja%20%28Japan%29%20%28Alt%201%29.rom?download=true
Candoo Ninja (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Candoo%20Ninja%20%28Japan%29.rom?download=true
Cannon Ball (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Cannon%20Ball%20%28Japan%29%20%28Alt%201%29.rom?download=true
Cannon Ball (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Cannon%20Ball%20%28Japan%29.rom?download=true
Cannon Fighter (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Cannon%20Fighter%20%28Japan%29.rom?download=true
Captain Chef (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Captain%20Chef%20%28Japan%29.rom?download=true
Car Fighter (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Car%20Fighter%20%28Japan%29.rom?download=true
Car Jamboree (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Car%20Jamboree%20%28Japan%29%20%28Alt%201%29.rom?download=true
Car Jamboree (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Car%20Jamboree%20%28Japan%29.rom?download=true
Car-Race (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Car-Race%20%28Japan%29%20%28Alt%201%29.rom?download=true
Car-Race (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Car-Race%20%28Japan%29%20%28Alt%202%29.rom?download=true
Car-Race (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Car-Race%20%28Japan%29.rom?download=true
Casio Daishogai Keiba (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Casio%20Daishogai%20Keiba%20%28Japan%29.rom?download=true
Casio Pachinko-U.F.O. (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Casio%20Pachinko-U.F.O.%20%28Japan%29.rom?download=true
Casio Ski Command (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Casio%20Ski%20Command%20%28Japan%29%20%28Alt%201%29.rom?download=true
Casio Ski Command (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Casio%20Ski%20Command%20%28Japan%29.rom?download=true
Casio Worldopen (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Casio%20Worldopen%20%28Japan%29.rom?download=true
Castle Excellent (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Castle%20Excellent%20%28Japan%29%20%28Alt%201%29.rom?download=true
Castle Excellent (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Castle%20Excellent%20%28Japan%29.rom?download=true
Castle, The (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Castle%2C%20The%20%28Japan%29.rom?download=true
Chack'n Pop (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Chack%27n%20Pop%20%28Japan%29%20%28Alt%201%29.rom?download=true
Chack'n Pop (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Chack%27n%20Pop%20%28Japan%29.rom?download=true
